Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,HouseStyle,YearBuilt,YearRemodAdd,1stFlrSF,2ndFlrSF,LowQualFinSF,Fireplaces,FireplaceQu,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65,8450,Reg,CollgCr,2Story,2003,2003,856,854,0,0,NA,0,2,2008,WD,Normal,208500
2,20,RL,80,9600,Reg,Veenker,1Story,1976,1976,1262,0,0,1,TA,0,5,2007,WD,Normal,181500
3,60,RL,68,11250,IR1,CollgCr,2Story,2001,2002,920,866,0,1,TA,0,9,2008,WD,Normal,223500
4,70,RL,60,9550,IR1,Crawfor,2Story,1915,1970,961,756,0,1,Gd,0,2,2006,WD,Abnorml,140000
5,60,RL,84,14260,IR1,NoRidge,2Story,2000,2000,1145,1053,0,1,TA,0,12,2008,WD,Normal,250000
6,50,RL,85,14115,IR1,Mitchel,1.5Fin,1993,1995,796,566,0,0,NA,700,10,2009,WD,Normal,143000
7,20,RL,75,10084,Reg,Somerst,1Story,2004,2005,1694,0,0,1,Gd,0,8,2007,WD,Normal,307000
8,60,RL,NA,10382,IR1,NWAmes,2Story,1973,1973,1107,983,0,2,TA,350,11,2009,WD,Normal,200000
9,50,RM,51,6120,Reg,OldTown,1.5Fin,1931,1950,1022,752,0,2,TA,0,4,2008,WD,Abnorml,129900
10,190,RL,50,7420,Reg,BrkSide,1.5Unf,1939,1950,1077,0,0,2,TA,0,1,2008,WD,Normal,118000
11,20,RL,70,11200,Reg,Sawyer,1Story,1965,1965,1040,0,0,0,NA,0,2,2008,WD,Normal,129500
12,60,RL,85,11924,IR1,NridgHt,2Story,2005,2006,1182,1142,0,2,Gd,0,7,2006,New,Partial,345000
13,20,RL,NA,12968,IR2,Sawyer,1Story,1962,1962,912,0,0,0,NA,0,9,2008,WD,Normal,144000
14,20,RL,91,10652,IR1,CollgCr,1Story,2006,2007,1494,0,0,1,Gd,0,8,2007,New,Partial,279500
